"Word","Bigram","Conc.M","Conc.SD","Unknown","Total","Percent_known","SUBTLEX","Dom_Pos","Dom_Pos_s"
"a",0,1.46,1.14,2,30,0.93,1041179,"Article","f"
"a cappella",1,2.92,1.44,3,29,0.9,0,"#N/A","f"
"aardvark",0,4.68,0.86,0,28,1,21,"Noun","n"
"aback",0,1.65,1.07,4,27,0.85,15,"Adverb","r"
"abacus",0,4.52,1.12,2,29,0.93,12,"Noun","n"
"abandon",0,2.54,1.45,1,27,0.96,413,"Verb","v"
"abandoned",0,2.52,1.27,0,29,1,678,"Verb","v"
"abandonee",0,2.92,1.28,4,28,0.86,0,"#N/A","f"
"abandoner",0,2.5,1.5,2,30,0.93,1,"Noun","n"
"abandonment",0,2.54,1.29,0,28,1,49,"Noun","n"
"abasement",0,1.67,1.01,2,26,0.92,0,"#N/A","f"
"abatement",0,1.92,1.29,4,30,0.87,3,"Noun","n"
"abbreviate",0,2.59,1.53,0,27,1,1,"Verb","v"
"abbreviated",0,3.1,1.54,0,30,1,16,"Adjective","a"
"abbreviation",0,3.07,1.51,0,29,1,12,"Noun","n"
"abdicate",0,2.08,1.29,2,28,0.93,9,"Verb","v"
"abdomen",0,4.7,0.67,0,27,1,171,"Noun","n"
"abdominal",0,4.28,1.16,0,29,1,174,"Adjective","a"
"abdominally",0,3.15,1.46,3,30,0.9,0,"#N/A","f"
"abduct",0,2.88,1.51,2,28,0.93,36,"Verb","v"
"abductee",0,3.27,1.44,0,30,1,20,"#N/A","f"
"abduction",0,3.07,1.47,0,27,1,185,"Noun","n"
"abductor",0,3.89,1.37,0,28,1,18,"Noun","n"
"abhor",0,1.81,1.17,3,29,0.9,12,"Verb","v"
"abhorrence",0,2.15,1.26,1,28,0.96,0,"#N/A","f"
"abhorrently",0,2.04,1.32,2,29,0.93,0,"#N/A","f"
"abhorring",0,1.68,0.8,4,29,0.86,0,"#N/A","f"
"abide",0,1.68,0.86,0,28,1,138,"Verb","v"
"abiding",0,2.07,1.13,0,29,1,25,"Adjective","a"
"abidingly",0,1.82,0.94,2,30,0.93,0,"#N/A","f"
"ability",0,1.81,0.88,0,27,1,980,"Noun","n"
"abject",0,1.67,0.96,4,28,0.86,20,"Adjective","a"
"ablaze",0,3.82,1.16,0,28,1,21,"Adjective","a"
"able",0,2.38,1.42,1,27,0.96,8155,"Adjective","a"
"ably",0,1.78,1.19,2,29,0.93,9,"Adverb","r"
"abnormal",0,2.14,1.38,0,29,1,148,"Adjective","a"
"abnormality",0,2.48,1.33,0,25,1,26,"Noun","n"
"abnormally",0,1.75,0.84,0,28,1,20,"Adverb","r"
"aboard",0,3.97,1.3,0,30,1,1358,"Adverb","r"
"abode",0,3.92,1.38,2,26,0.92,33,"Noun","n"
"abolish",0,2.19,1.17,0,26,1,24,"Verb","v"
"abolishable",0,1.96,1.16,3,27,0.89,0,"#N/A","f"
"abolisher",0,2.29,1.15,1,29,0.97,0,"#N/A","f"
"abolishment",0,2.31,1.42,0,29,1,0,"#N/A","f"
"abolition",0,2.43,1.5,1,29,0.97,10,"Noun","n"
"abolitionism",0,1.86,0.93,1,29,0.97,1,"Noun","n"
"abolitionist",0,3.28,1.51,2,27,0.93,11,"Noun","n"
"abominable",0,1.89,0.99,2,30,0.93,32,"Adjective","a"
"abominableness",0,1.58,0.83,3,27,0.89,0,"#N/A","f"
"abominably",0,2.14,1.13,1,30,0.97,8,"Adverb","r"
"abominate",0,1.68,0.99,3,28,0.89,3,"Verb","v"
"abomination",0,2.23,1.24,0,26,1,58,"Noun","n"
"aboriginal",0,3.12,1.34,2,28,0.93,9,"Adjective","a"
"abort",0,2.83,1.23,0,30,1,235,"Verb","v"
"aborted",0,2.83,1.36,0,29,1,32,"Verb","v"
"abortion",0,3.41,1.39,0,27,1,369,"Noun","n"
"abortionist",0,3.19,1.47,1,27,0.96,4,"Noun","n"
"abortive",0,1.88,0.99,3,29,0.9,1,"Adjective","a"
"abortively",0,1.95,1.05,4,26,0.85,1,"Adverb","r"
"abound",0,2.27,1.19,2,28,0.93,18,"Verb","v"
"abounding",0,2.04,1.19,2,29,0.93,4,"Verb","v"
"about",0,1.77,0.95,0,26,1,185206,"Preposition","f"
"above",0,3.33,1.34,0,24,1,2493,"Preposition","f"
"above all",1,2.11,1.55,2,29,0.93,0,"#N/A","f"
"aboveboard",0,2.8,1.47,4,29,0.86,14,"Noun","n"
"aboveground",0,4.03,1.24,0,29,1,7,"Adjective","a"
"abovementioned",0,2.96,1.57,1,29,0.97,1,"Adjective","a"
"abracadabra",0,2.04,1.43,3,29,0.9,53,"Noun","n"
"abrasion",0,4.57,0.88,0,28,1,18,"Noun","n"
"abrasive",0,3.03,1.35,0,30,1,23,"Adjective","a"
"abrasively",0,2.07,1.07,0,29,1,0,"#N/A","f"
"abrasiveness",0,2.72,1.31,0,29,1,2,"Noun","n"
"abreast",0,2.23,1.31,1,27,0.96,26,"Adjective","a"
"abridge",0,2.77,1.53,0,26,1,1,"Noun","n"
"abridged",0,1.77,1.03,1,27,0.96,9,"Adjective","a"
"abridgment",0,2.67,1.58,3,27,0.89,0,"#N/A","f"
"abroad",0,2.72,1.43,1,26,0.96,250,"Adverb","r"
"abrupt",0,2.27,1.11,0,30,1,58,"Adjective","a"
"abruptly",0,2.36,1.28,0,28,1,45,"Adverb","r"
"abruptness",0,2.04,1.02,0,27,1,4,"Noun","n"
"abscess",0,4.48,0.8,1,28,0.96,25,"Noun","n"
"abscessed",0,2.69,1.29,1,27,0.96,3,"Verb","v"
"absence",0,2.31,1.35,0,26,1,322,"Noun","n"
"absent",0,2.7,1.44,0,30,1,131,"Adjective","a"
"absentee",0,3.29,1.38,0,28,1,18,"Noun","n"
"absenteeism",0,2.35,1.47,3,26,0.88,5,"Noun","n"
"absently",0,1.71,1.12,0,28,1,0,"#N/A","f"
"absentminded",0,2,0.96,0,29,1,3,"Adjective","a"
"absentmindedly",0,1.76,1.09,0,29,1,0,"#N/A","f"
"absentmindedness",0,1.75,1.11,1,29,0.97,1,"Noun","n"
"absentness",0,1.88,1.07,1,27,0.96,0,"#N/A","f"
"absinthe",0,4.3,1.22,1,24,0.96,28,"Verb","v"
"absolute",0,1.81,1.24,0,27,1,577,"Adjective","a"
"absolutely",0,1.97,1.19,0,30,1,5769,"Adverb","r"
"absoluteness",0,1.5,1.04,0,30,1,1,"Noun","n"
"absolution",0,1.78,1.05,2,29,0.93,48,"Noun","n"
"absolutism",0,1.46,1.03,2,28,0.93,0,"#N/A","f"
"absolutist",0,2.7,1.4,4,27,0.85,0,"#N/A","f"
"absolvable",0,1.8,1.08,3,28,0.89,0,"#N/A","f"
"absolve",0,1.85,1.01,1,27,0.96,29,"Verb","v"
"absorb",0,3.11,1.26,0,28,1,101,"Verb","v"
