category,score
smiley_face,['0']
rollerskates,['1']
floor_lamp,['0']
italy,['1']
hangman_game,['0']
long_hair,['0']
grapes,['0']
The_Eiffel_Tower,['0']
see_saw,['4']
hockey_puck,['0']
the_great_wall_of_china,['0']
animal_migration,['1']
stop_sign,['0']
curly_hair,['0']
floppy_disk,['0']
waterslide,['1']
frog,['1']
ceiling_fan,['4']
leafy_tree,['2']
t_shirt,['0']
power_outlet,['0']
big_ben,['4']
bottlecap,['1']
mouth_yelling,['5']
peas,['0']
short_monster,['0']
paint_can,['1']
corgi,['0']
The_Mona_Lisa,['0']
black_cat,['0']
hot_air_balloon,['1']
from_A_to_M-selected,['0']
fried_egg,['0']
house_plant,['0']
string_bean,['0']
house_boat,['2']
stitches,['1']
matches,['2']
