category,score
smiley_face,['5']
rollerskates,['5']
floor_lamp,['5']
italy,['5']
hangman_game,['4']
long_hair,['5']
grapes,['5']
The_Eiffel_Tower,['5']
see_saw,['5']
hockey_puck,['5']
the_great_wall_of_china,['5']
animal_migration,['4']
stop_sign,['5']
curly_hair,['5']
floppy_disk,['5']
waterslide,['5']
ceiling_fan,['5']
leafy_tree,['5']
t_shirt,['5']
power_outlet,['5']
big_ben,['5']
bottlecap,['5']
mouth_yelling,['4']
peas,['5']
short_monster,['4']
paint_can,['5']
corgi,['5']
The_Mona_Lisa,['5']
black_cat,['5']
hot_air_balloon,['5']
fried_egg,['5']
house_plant,['5']
string_bean,['5']
house_boat,['5']
stitches,['5']
matches,['5']
