country,culture,Correct
Andorra,latin_europe,y
United Arab Emirates,arab_cultures,y
Afghanistan,southern_asia,y
Antigua and Barbuda,latin_america,y
Anguilla,anglo_cultures,n
Albania,eastern_europe,y
Armenia,eastern_europe,y
Netherlands Antilles,latin_america,y
Angola,sub_sahara_africa,y
Argentina,latin_america,y
American Samoa,anglo_cultures,n
Austria,germanic_europe,y
Australia,anglo_cultures,y
Aruba,latin_america,y
Åland Islands,nordic_europe,y
Azerbaijan,eastern_europe,y
Bosnia and Herzegovina,eastern_europe,y
Barbados,anglo_cultures,n
Bangladesh,southern_asia,y
Belgium,germanic_europe,y
Burkina Faso,sub_sahara_africa,y
Bulgaria,eastern_europe,y
Bahrain,arab_cultures,y
Burundi,sub_sahara_africa,y
Benin,sub_sahara_africa,y
Saint Barthélemy,latin_america,y
Bermuda,anglo_cultures,n
Brunei Darussalam,southern_asia,y
Brunei,southern_asia,y
"Bolivia, Plurinational State of",latin_america,y
Bolivia,latin_america,y
"Bonaire, Sint Eustatius and Saba",latin_america,y
Brazil,latin_america,y
Bahamas,latin_america,y
Bhutan,southern_asia,y
Botswana,sub_sahara_africa,y
Belarus,eastern_europe,y
Belize,latin_america,y
Canada,anglo_cultures,y
"Congo, the Democratic Republic of the",sub_sahara_africa,y
Central African Republic,sub_sahara_africa,y
Congo,sub_sahara_africa,y
Switzerland,germanic_europe,y
Côte d'Ivoire,sub_sahara_africa,y
Ivory Coast,sub_sahara_africa,y
Cook Islands,anglo_cultures,n
Chile,latin_america,y
Cameroon,sub_sahara_africa,y
China,confucian_asia,y
Colombia,latin_america,y
Costa Rica,latin_america,y
Cape Verde,latin_america,n
Curaçao,latin_america,y
Christmas Island,anglo_cultures,n
Cyprus,eastern_europe,n
Czech Republic,eastern_europe,n
Germany,germanic_europe,y
Djibouti,arab_cultures,y
Denmark,nordic_europe,y
Dominica,latin_america,y
Dominican Republic,latin_america,y
Algeria,arab_cultures,y
Ecuador,latin_america,y
Estonia,nordic_europe,n
Egypt,arab_cultures,y
Western Sahara,arab_cultures,y
Eritrea,sub_sahara_africa,y
Spain,latin_europe,y
Ethiopia,sub_sahara_africa,y
Finland,nordic_europe,y
Fiji,anglo_cultures,n
Falkland Islands (Malvinas),anglo_cultures,n
"Micronesia, Federated States of",southern_asia,y
Faroe Islands,nordic_europe,y
France,latin_europe,y
Gabon,sub_sahara_africa,y
United Kingdom,anglo_cultures,y
Grenada,latin_america,y
Georgia,eastern_europe,y
French Guiana,latin_america,y
Guernsey,anglo_cultures,n
Ghana,sub_sahara_africa,y
Gibraltar,latin_europe,y
Greenland,nordic_europe,y
Gambia,sub_sahara_africa,y
Guinea,sub_sahara_africa,y
Guadeloupe,latin_america,y
Equatorial Guinea,sub_sahara_africa,y
Greece,eastern_europe,n
Guatemala,latin_america,y
Guam,latin_america,y
Guinea-Bissau,sub_sahara_africa,y
Guyana,latin_america,y
Hong Kong,confucian_asia,y
Honduras,latin_america,y
Croatia,eastern_europe,n
Haiti,latin_america,y
Hungary,eastern_europe,y
Indonesia,southern_asia,y
Ireland,anglo_cultures,y
Israel,latin_europe,y
Isle of Man,anglo_cultures,n
India,southern_asia,y
British Indian Ocean Territory,anglo_cultures,n
Iraq,arab_cultures,y
"Iran, Islamic Republic of",arab_cultures,y
Iceland,nordic_europe,y
Italy,latin_europe,y
Jersey,anglo_cultures,n
Jamaica,latin_america,y
Jordan,arab_cultures,y
Japan,confucian_asia,y
Kenya,sub_sahara_africa,y
Kyrgyzstan,eastern_europe,y
Cambodia,southern_asia,y
Kiribati,sub_sahara_africa,y
Comoros,sub_sahara_africa,y
Saint Kitts and Nevis,latin_america,y
"Korea, Republic of",confucian_asia,y
South Korea,confucian_asia,y
Kuwait,arab_cultures,y
Cayman Islands,anglo_cultures,y
Kazakhstan,eastern_europe,y
Lao People's Democratic Republic,southern_asia,y
Lebanon,arab_cultures,y
Saint Lucia,latin_america,y
Liechtenstein,germanic_europe,y
Sri Lanka,southern_asia,y
Liberia,sub_sahara_africa,y
Lesotho,sub_sahara_africa,y
Lithuania,eastern_europe,y
Luxembourg,germanic_europe,y
Latvia,eastern_europe,y
Libya,arab_cultures,y
Libyan Arab Jamahiriya,arab_cultures,y
Morocco,arab_cultures,y
Monaco,latin_europe,y
"Moldova, Republic of",eastern_europe,y
Montenegro,eastern_europe,y
Saint Martin (French part),latin_europe,n
Madagascar,sub_sahara_africa,y
Marshall Islands,anglo_cultures,n
"Macedonia, the former Yugoslav Republic of",eastern_europe,y
Mali,sub_sahara_africa,y
Burma,southern_asia,y
Myanmar,southern_asia,y
Mongolia,confucian_asia,y
Macao,confucian_asia,y
Northern Mariana Islands,latin_america,y
Martinique,latin_america,y
Mauritania,arab_cultures,y
Montserrat,anglo_cultures,n
Malta,latin_europe,y
Mauritius,latin_europe,n
Maldives,southern_asia,y
Malawi,sub_sahara_africa,y
Mexico,latin_america,y
Malaysia,southern_asia,y
Mozambique,sub_sahara_africa,y
New Caledonia,latin_europe,n
Niger,sub_sahara_africa,y
Norfolk Island,anglo_cultures,y
Nigeria,sub_sahara_africa,y
Nicaragua,latin_america,y
Netherlands,germanic_europe,y
Norway,nordic_europe,y
Nepal,southern_asia,y
Nauru,anglo_cultures,n
New Zealand,anglo_cultures,y
Oman,arab_cultures,y
Panama,latin_america,y
Peru,latin_america,y
French Polynesia,latin_europe,n
Papua New Guinea,sub_sahara_africa,y
Philippines,southern_asia,y
Pakistan,southern_asia,y
Poland,eastern_europe,y
Saint Pierre and Miquelon,latin_europe,n
Puerto Rico,latin_america,y
"Palestinian Territory, Occupied",arab_cultures,y
Portugal,latin_europe,y
Palau,southern_asia,y
Paraguay,latin_america,y
Qatar,arab_cultures,y
Réunion,latin_europe,n
Romania,eastern_europe,y
Serbia,eastern_europe,y
Russia,eastern_europe,y
Russian Federation,eastern_europe,y
Rwanda,sub_sahara_africa,y
Saudi Arabia,arab_cultures,y
Solomon Islands,sub_sahara_africa,y
Seychelles,sub_sahara_africa,y
