category,score
smiley_face,['0']
rollerskates,['0']
floor_lamp,['2']
italy,['0']
hangman_game,['4']
long_hair,['2']
grapes,['1']
The_Eiffel_Tower,['0']
see_saw,['4']
hockey_puck,['4']
the_great_wall_of_china,['0']
animal_migration,['0']
stop_sign,['1']
curly_hair,['2']
floppy_disk,['2']
waterslide,['0']
frog,['0']
ceiling_fan,['1']
leafy_tree,['2']
t_shirt,['2']
power_outlet,['1']
big_ben,['0']
bottlecap,['4']
mouth_yelling,['0']
peas,['1']
short_monster,['0']
paint_can,['4']
corgi,['0']
The_Mona_Lisa,['0']
black_cat,['0']
hot_air_balloon,['0']
from_A_to_M-selected,['4']
fried_egg,['0']
house_plant,['2']
string_bean,['2']
house_boat,['0']
stitches,['2']
matches,['4']
