category,score
smiley_face,['0']
rollerskates,['4']
floor_lamp,['2']
italy,['0']
hangman_game,['0']
long_hair,['4']
grapes,['4']
The_Eiffel_Tower,['0']
see_saw,['4']
hockey_puck,['4']
the_great_wall_of_china,['0']
animal_migration,['0']
stop_sign,['1']
curly_hair,['4']
floppy_disk,['4']
waterslide,['4']
frog,['2']
ceiling_fan,['2']
leafy_tree,['4']
t_shirt,['4']
power_outlet,['4']
big_ben,['0']
bottlecap,['4']
mouth_yelling,['0']
peas,['2']
short_monster,['0']
paint_can,['4']
corgi,['1']
The_Mona_Lisa,['0']
black_cat,['0']
hot_air_balloon,['2']
from_A_to_M-selected,['0']
fried_egg,['1']
house_plant,['4']
string_bean,['4']
house_boat,['2']
stitches,['4']
matches,['2']
