category,score
smiley_face,['0']
rollerskates,['0']
floor_lamp,['0']
italy,['0']
hangman_game,['0']
long_hair,['0']
grapes,['4']
The_Eiffel_Tower,['0']
see_saw,['0']
hockey_puck,['0']
the_great_wall_of_china,['0']
animal_migration,['0']
stop_sign,['0']
curly_hair,['0']
floppy_disk,['0']
waterslide,['0']
frog,['0']
ceiling_fan,['0']
leafy_tree,['4']
t_shirt,['0']
power_outlet,['0']
big_ben,['0']
bottlecap,['0']
mouth_yelling,['0']
peas,['4']
short_monster,['0']
paint_can,['4']
corgi,['0']
The_Mona_Lisa,['0']
black_cat,['0']
hot_air_balloon,['0']
from_A_to_M-selected,['0']
fried_egg,['4']
house_plant,['4']
string_bean,['4']
house_boat,['0']
stitches,['0']
matches,['4']
