category,score
smiley_face,['5']
rollerskates,['4']
floor_lamp,['5']
italy,['4']
hangman_game,['4']
long_hair,['5']
grapes,['4']
The_Eiffel_Tower,['5']
see_saw,['4']
hockey_puck,['4']
the_great_wall_of_china,['5']
animal_migration,['4']
stop_sign,['5']
curly_hair,['5']
floppy_disk,['4']
waterslide,['4']
frog,['4']
ceiling_fan,['4']
leafy_tree,['5']
t_shirt,['5']
power_outlet,['5']
big_ben,['5']
bottlecap,['4']
mouth_yelling,['4']
peas,['4']
short_monster,['4']
paint_can,['4']
corgi,['5']
The_Mona_Lisa,['5']
black_cat,['5']
hot_air_balloon,['4']
from_A_to_M-selected,['0']
fried_egg,['5']
house_plant,['4']
string_bean,['4']
house_boat,['4']
stitches,['4']
matches,['4']
